,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
noprev,0,-2028.015043258667,108.49018955230713,0.0,1.0,71.91488124552332,0.0,False,log
full,1,-2029.007619380951,108.40692234039307,0.9925761222839355,0.0,72.05052651648649,0.6938312129575496,False,log
